1,652,44
2,934,6
3,521,86
4,542,25
5,766,16
6,2,7
7,284,61
8,324,58
9,165,68
10,158,9
11,708,71
12,335,91
13,724,11
14,170,51
15,937,20
16,93,106
17,996,16
18,782,93
19,807,38
20,993,82
21,990,48
22,645,75
23,648,90
24,747,57
25,383,63
26,799,5
27,545,66
28,4,88
29,42,84
30,582,7
31,356,85
32,344,99
33,546,42
34,621,47
35,791,97
36,668,72
37,91,93
38,309,53
39,934,67
40,938,45
41,817,56
42,540,94
43,493,55
44,718,66
45,483,44
46,220,75
47,456,78
48,612,90
49,571,15
50,724,60
51,586,57
52,387,44
53,125,28
54,345,89
55,325,6
56,82,6
57,181,91
58,948,90
59,875,7
60,727,89
61,89,13
62,694,36
63,451,62
64,796,62
65,533,56
66,472,77
67,655,93
68,162,96
69,468,81
70,196,46
71,868,29
72,317,77
73,987,80
74,677,64
75,539,34
76,773,90
77,233,5
78,524,80
79,779,79
80,126,58
81,982,60
82,640,74
83,278,86
84,597,84
85,197,104
86,480,99
87,992,44
88,368,82
89,813,91
90,73,42
91,475,67
92,842,64
93,814,101
94,203,40
95,591,61
96,109,58
97,68,105
98,709,35
99,580,41
100,208,75
101,73,61
102,998,83
103,82,34
104,406,105
105,286,28
106,557,103
107,597,85
108,307,81
109,283,46
110,912,78
111,828,108
112,561,40
113,678,22
114,500,34
115,580,103
116,69,80
117,92,90
118,613,41
119,36,27
120,100,108
121,473,41
122,363,40
123,657,66
124,156,89
125,653,92
126,755,92
127,391,69
128,91,77
129,264,51
130,258,89
131,563,84
132,95,30
133,481,8
134,399,28
135,749,94
136,255,58
137,103,40
138,681,77
139,503,71
140,36,7
141,327,79
142,135,44
143,412,82
144,759,88
145,390,26
146,848,71
147,1000,36
148,903,14
149,195,110
150,803,41
151,589,51
152,398,71
153,145,45
154,125,66
155,685,96
156,23,78
157,485,40
158,76,97
159,246,37
160,260,67
161,600,28
162,33,89
163,171,39
164,507,12
165,585,17
166,640,24
167,918,44
168,478,27
169,878,56
170,149,47
171,827,51
172,484,66
173,745,72
174,594,83
175,408,108
176,427,104
177,202,66
178,740,95
179,608,77
180,287,91
181,905,106
182,402,9
183,747,23
184,376,64
185,418,93
186,524,13
187,856,61
188,289,94
189,467,6
190,146,7
191,226,102
192,51,107
193,485,64
194,562,45
195,916,100
196,140,40
197,509,66
198,376,13
199,94,68
200,146,46
201,338,58
202,108,11
203,233,99
204,420,106
205,873,80
206,722,7
207,703,17
208,104,33
209,573,51
210,745,108
211,574,91
212,654,26
213,808,49
214,594,95
215,121,56
216,247,94
217,35,51
218,868,103
219,772,15
220,50,48
221,128,82
222,572,26
223,527,71
224,954,19
225,140,103
226,620,37
227,133,41
228,164,19
229,928,60
230,930,42
231,740,47
232,539,78
233,540,5
234,283,35
235,178,6
236,333,58
237,284,71
238,869,23
239,914,83
240,712,50
241,88,28
242,795,33
243,132,104
244,83,100
245,290,51
246,101,68
247,975,99
248,897,56
249,822,35
250,790,97
251,830,5
252,521,68
253,85,44
254,638,86
255,719,22
256,392,85
257,903,77
258,426,104
259,395,25
260,578,107
261,364,27
262,382,15
263,810,28
264,4,16
265,234,16
266,24,30
267,112,69
268,616,36
269,896,85
270,67,80
271,870,61
272,241,93
273,217,108
274,297,80
275,544,91
276,239,9
277,387,95
278,164,82
279,846,66
280,261,79
281,386,37
282,270,85
283,333,37
284,563,100
285,973,97
286,769,78
287,416,27
288,727,85
289,506,47
290,562,9
291,589,36
292,159,103
293,575,83
294,844,51
295,238,33
296,82,52
297,544,20
298,15,85
299,160,36
300,229,23
301,352,31
302,193,20
303,219,52
304,935,89
305,103,57
306,353,108
307,238,108
308,164,66
309,895,11
310,514,59
311,275,18
312,823,92
313,189,82
314,414,49
315,373,71
316,115,78
317,516,53
318,348,39
319,289,7
320,565,51
321,716,75
322,531,17
323,352,59
324,150,11
